date,wti,brent,dubai
2011-05-04,100.58,114.78,109.16
2011-05-05,100.18,115.02,108.65
2011-05-06,101.1,114.77,105.48
2011-05-09,99.35,112.52,105.49
2011-05-10,97.38,109.98,104.01
2011-05-11,99.46,111.69,106.21
2011-05-12,98.39,112.19,106.44
2011-05-13,99.95,112.51,105.44
2011-05-17,97.3,113.28,106.09
2011-05-18,99.52,113.56,107.74
2011-05-19,98.84,112.98,105.11
2011-05-20,98.57,114.32,110.92
2011-05-23,103.86,117.78,109.25
2011-05-24,102.62,114.81,105.7
2011-05-25,97.45,111.39,100.48
2011-05-26,99.13,112.75,114.4
2011-05-27,109.22,121.4,114.44
2011-05-30,111.04,123.19,117.9
2011-06-01,95.03,113.99,105.6
2011-06-02,101.85,119.61,111.18
2011-06-03,99.22,116.59,108.22
2011-06-06,98.86,115.12,108.15
2011-06-07,100.3,115.6,108.21
2011-06-08,100.43,115,107.83
2011-06-09,100.27,115.47,110.13
2011-06-10,95.18,111.98,106.75
2011-06-13,94.81,111.74,104.74
2011-06-14,92.77,107.97,102.95
2011-06-15,90.63,105.14,101.07
2011-06-16,91,104.99,101.54
2011-06-17,91.26,107.69,106.14
2011-06-20,93.28,111.53,106.87
2011-06-21,93.36,112.04,105.89
2011-06-22,93.01,113.36,105.43
2011-06-23,94.84,114.27,108.25
2011-06-24,94.88,117.85,111.8
2011-06-27,99.31,120.57,111.49
2011-06-28,97.26,120.01,111.41
2011-06-29,99.3,118.79,112.04
2011-06-30,100.77,118.1,109.41
2011-07-01,95.78,116.23,111.1
2011-07-04,97.33,117.68,112.28
2011-07-05,97.38,117.72,112.27
2011-07-06,99.58,118.17,112.31
2011-07-07,99.1,118.09,112.09
2011-07-08,99.71,118.89,112.34
2011-07-11,99.09,118.39,111.5
2011-07-12,98.17,118.51,112.1
2011-07-13,97.65,117.74,111.07
2011-07-14,95.98,116.75,110.89
2011-07-15,97.3,117.78,109.8
2011-07-18,95.72,117.96,110.82
2011-07-19,97.92,119.23,111.55
2011-07-20,97.18,117.75,109.01
2011-07-21,95.11,117.1,110.32
2011-07-22,96.23,118.04,111.89
2011-07-25,98.56,118.1,108.47
2011-07-26,96.64,113.68,106.52
2011-07-27,96.86,113.55,105.1
2011-07-29,94.77,110.58,105.57
2011-08-01,88.82,115.85,109.73
2011-08-04,85.37,111.81,105.98
2011-08-05,85.13,111.33,106.54
2011-08-08,85.09,111.15,104.73
2011-08-09,85.61,109.94,104.58
2011-08-10,84.34,108.63,101.96
2011-08-11,82.33,108.94,100.98
2011-08-12,82.02,107.66,105.04
2011-08-15,87.55,111.1,104.79
2011-08-16,86.61,109.88,103.42
2011-08-17,87.89,109.51,103.12
2011-08-18,85.38,108.06,102.28
2011-08-19,85.68,107.15,102.11
2011-08-22,82.48,105.32,100.03
2011-08-24,81.45,104.61,101.76
2011-08-25,86.88,108.1,101.05
2011-08-26,86.72,108.71,107.23
2011-08-29,91.77,113.4,109.59
2011-08-30,93.77,116.37,109.98
2011-08-31,95.1,116.45,113.21
2011-09-01,79.19,103.98,100.61
2011-09-02,82.16,105.67,101.68
2011-09-05,81.3,106.15,103.49
2011-09-06,84.37,108.23,102.61
2011-09-07,80.6,105.61,99.74
2011-09-08,79.93,106.45,103.18
2011-09-09,80.22,107.61,104.38
2011-09-12,85.75,113.09,107.11
2011-09-13,86.61,112.64,106.1
2011-09-14,85.71,111.19,107.83
2011-09-15,87.94,114.15,108.2
2011-09-16,89.33,116.38,105.4
2011-09-19,88.83,112.93,105.68
2011-09-20,90.1,113.06,106.32
2011-09-21,88.26,113.72,105.24
2011-09-22,87.28,113.88,109.15
2011-09-23,88.86,116.54,110.08
2011-09-26,89.29,116.85,108.73
2011-09-27,85.97,113.28,105.83
